Source path,Class name,Method name,Smell type,Severity,Evidence
src/main/java/io/moderne/devcenter/JUnitJupiterUpgrade.java,io.moderne.devcenter.JUnitJupiterUpgrade,preVisit,FEATURE_ENVY,HIGH,"foreign accesses=28, own accesses=6"
src/main/java/io/moderne/devcenter/JavaVersionUpgrade.java,io.moderne.devcenter.JavaVersionUpgrade,getMeasures,FEATURE_ENVY,LOW,"foreign accesses=7, own accesses=1"
src/main/java/io/moderne/devcenter/JavaVersionUpgrade.java,io.moderne.devcenter.JavaVersionUpgrade,preVisit,FEATURE_ENVY,HIGH,"foreign accesses=22, own accesses=3"
src/main/java/io/moderne/devcenter/KotlinVersionUpgrade.java,io.moderne.devcenter.KotlinVersionUpgrade,getMeasures,FEATURE_ENVY,LOW,"foreign accesses=9, own accesses=3"
src/main/java/io/moderne/devcenter/KotlinVersionUpgrade.java,io.moderne.devcenter.KotlinVersionUpgrade,parseVersion,FEATURE_ENVY,LOW,"foreign accesses=5, own accesses=0"
src/main/java/io/moderne/devcenter/KotlinVersionUpgrade.java,io.moderne.devcenter.KotlinVersionUpgrade,preVisit,FEATURE_ENVY,HIGH,"foreign accesses=16, own accesses=6"
src/main/java/io/moderne/devcenter/NodeVersionUpgrade.java,io.moderne.devcenter.NodeVersionUpgrade,getMeasures,FEATURE_ENVY,LOW,"foreign accesses=7, own accesses=1"
src/main/java/io/moderne/devcenter/NodeVersionUpgrade.java,io.moderne.devcenter.NodeVersionUpgrade,parseMajorVersion,FEATURE_ENVY,LOW,"foreign accesses=8, own accesses=2"
src/main/java/io/moderne/devcenter/NodeVersionUpgrade.java,io.moderne.devcenter.NodeVersionUpgrade,visit,FEATURE_ENVY,HIGH,"foreign accesses=24, own accesses=4"
src/main/java/io/moderne/devcenter/ParentPomUpgrade.java,io.moderne.devcenter.ParentPomUpgrade,preVisit,FEATURE_ENVY,HIGH,"foreign accesses=18, own accesses=4"
src/main/java/io/moderne/devcenter/PythonVersionUpgrade.java,io.moderne.devcenter.PythonVersionUpgrade,getMeasures,FEATURE_ENVY,LOW,"foreign accesses=7, own accesses=1"
src/main/java/io/moderne/devcenter/PythonVersionUpgrade.java,io.moderne.devcenter.PythonVersionUpgrade,parseMinimumVersion,FEATURE_ENVY,MEDIUM,"foreign accesses=12, own accesses=2"
src/main/java/io/moderne/devcenter/PythonVersionUpgrade.java,io.moderne.devcenter.PythonVersionUpgrade,visit,FEATURE_ENVY,HIGH,"foreign accesses=24, own accesses=4"
src/main/java/io/moderne/devcenter/ReportAsSecurityIssues.java,io.moderne.devcenter.ReportAsSecurityIssues,preVisit,FEATURE_ENVY,HIGH,"foreign accesses=19, own accesses=3"
src/main/java/io/moderne/devcenter/ScalaVersionUpgrade.java,io.moderne.devcenter.ScalaVersionUpgrade,emitMeasures,FEATURE_ENVY,HIGH,"foreign accesses=16, own accesses=5"
src/main/java/io/moderne/devcenter/ScalaVersionUpgrade.java,io.moderne.devcenter.ScalaVersionUpgrade,getMeasures,FEATURE_ENVY,LOW,"foreign accesses=7, own accesses=1"
src/main/java/io/moderne/devcenter/SemverRowBuilder.java,io.moderne.devcenter.SemverRowBuilder,getRow,FEATURE_ENVY,CRITICAL,"foreign accesses=36, own accesses=13"
src/main/java/io/moderne/devcenter/internal/ResolvedDependencyVersions.java,io.moderne.devcenter.internal.ResolvedDependencyVersions,findVersions,FEATURE_ENVY,HIGH,"foreign accesses=18, own accesses=0"
src/main/java/io/moderne/devcenter/result/DevCenterResultReducer.java,io.moderne.devcenter.result.DevCenterResultReducer,reduce,FEATURE_ENVY,CRITICAL,"foreign accesses=33, own accesses=4"
src/main/java/io/moderne/devcenter/result/DevCenterResultReducer.java,io.moderne.devcenter.result.DevCenterResultReducer,repositoryMap,FEATURE_ENVY,LOW,"foreign accesses=5, own accesses=1"
src/main/java/io/moderne/devcenter/result/SecurityIssuesReader.java,io.moderne.devcenter.result.SecurityIssuesReader,read,FEATURE_ENVY,CRITICAL,"foreign accesses=36, own accesses=2"
src/main/java/io/moderne/devcenter/result/UpgradesAndMigrationsReader.java,io.moderne.devcenter.result.UpgradesAndMigrationsReader,read,FEATURE_ENVY,CRITICAL,"foreign accesses=38, own accesses=2"
src/main/java/io/moderne/devcenter/table/UpgradesAndMigrations.java,io.moderne.devcenter.table.UpgradesAndMigrations,bestRow,FEATURE_ENVY,MEDIUM,"foreign accesses=11, own accesses=0"
